91X.INVEST
Date  	TS    	HU    	Wind    Press	   Lat	  Long
29/00   04      LO      20      1007	  -5.8    -104.9    1
29/06   04    	LO    	20    	1007	  -5.8	  -105.7    1A
29/12   05    	LO    	20    	1006	  -5.9    -106.8    2
29/18   08    	LO    	25    	1004	  -6.2	  -107.1    2A
30/00   07    	LO    	25    	1005	  -6.3    -108.8    3
30/06   08    	LO    	25    	1004	  -5.8    -109.4    3A
30/12   10    	LO    	25    	1004	  -5.4    -110.7    4
30/18   13    	LO    	25    	1003	  -6.5    -111.5    4A
31/00   14    	LO    	30    	1004	  -6.7    -112.3    5
+12     18    	LO    	30    	1004	  -6.7    -113.9    -
+24     20    	LO    	30    	1003	  -5.3    -114.6    -
+36     23    	LO    	30    	1002	  -4.8    -115.4    -
+48     30    	LO    	35    	1000	  -4.7    -116.1    -
+72     30    	LO    	35    	1000	  -4.7    -116.8    -
+96     30    	LO    	30    	1001	  -4.8    -117.5    -
+120    30    	LO    	30    	1003	  -4.8    -118.3    -
