01X.ONE-X
Date  	TS    	HU    	Wind    Press	   Lat	  Long
29/00   04      LO      20      1007	  -5.8    -104.9    1
29/06   04    	LO    	20    	1007	  -5.8	  -105.7    1A
29/12   05    	LO    	20    	1006	  -5.9    -106.8    2
29/18   08    	LO    	25    	1004	  -6.2	  -107.1    2A
30/00   07    	LO    	25    	1005	  -6.3    -108.8    3
30/06   08    	LO    	25    	1004	  -5.8    -109.4    3A
30/12   10    	LO    	25    	1004	  -5.4    -110.7    4
30/18   10    	LO    	25    	1003	  -6.5    -111.5    4A
31/00   09    	LO    	25    	1004	  -6.7    -112.3    5
31/06   03    	LO    	25    	1006	  -6.7    -113.9    5A
31/12   01    	LO    	25    	1007	  -5.7    -114.6    6
31/18   00    	LO    	25    	1004	  -5.3    -115.4    6A
01/00   05    	LO    	25    	1005	  -5.5    -116.1    7
01/06   40    	LO    	25    	1005	  -5.7    -117.3    7A
01/12   44    	00    	25    	1004	  -5.8    -118.5    8
+12     48    	00    	30    	1003	  -6.0    -119.3    -
+24     50    	00    	30    	1003	  -6.2    -120.8    -
+36     75    	00    	30    	1000	  -6.6    -121.4    -
+48     91    	00    	35    	997	    -6.8    -122.6    -
+72     71    	00    	30    	1000	  -6.8    -122.6    -
+96     69    	00    	30    	1001	  -6.8    -122.6    -
+120    50    	00    	35    	999	    -6.8    -122.6    -
